Creator Name,Role,Comment,LinkedIn URL
Mariya Akhtar,"AI Voice Agent & Chatbot Developer | Automating Customer Support & Sales So You Scale Without Hiring.","Small dedicated team, years of iteration, and unwavering belief in the vision. These are the ingredients that built something people actually love using.",
"Affan Ahmad, Hiring",Building Rawbare.com | 10+ Years of Expertise in Driving Online Success,This feels like the beginning of something much bigger.,
Simon Stewart,Helping Brands Own Their Customer Engagement | Mobile Wallet Passes | BDR @ PassEntry 📲,Incredible journey from failing multiple times to raising $75M. The startup world needs more founders who are honest about the struggle behind success.,
Greg Ptashny,Creative Solutions Director at WebSmart Agency,Massive congratulations. The pace here is genuinely eye-opening.,https://www.linkedin.com/in/greg-ptashny-9088521a/
Richard Ali,"We don't install AI. We install the future of Work. | AI transformation infrastructure that turns experimentation into fluency, and fluency into competitive advantage.",The fact that this started as an experiment and became something that 10x's real businesses is the best kind of organic product evolution story.,
Kristy Yoder,"Helping overwhelmed entrepreneurs build businesses that run with clarity, freedom, and peace, even without their daily involvement.",Viktor went from a vision in 2023 to the fastest growing AI employee product in 2025. That is what relentless focus and execution can accomplish.,https://www.linkedin.com/in/kristy-yoder/
jocasta marvin,Helping UK Businesses Grow | Connecting the Right Talent | Technology-Driven Solutions for Sustainable Success,Viktor creating a category rather than competing in an existing one is why Accel led this round. Category creators generate the biggest outcomes.,
Paul Hitchcock,Founder | Dad 4x | We install our predictable client-acquisition system | We get you visible w/branded authority content | Don't rely only on referrals | Case studies available,This is a big deal for enterprise automation.,https://www.linkedin.com/in/gianthelp/
Igor Bodrichenko,"Bubble.io Expert | Lovable | Supabase | Xano | Webflow | Bubble.io Developer",That kind of outcome creates instant credibility.,https://uk.linkedin.com/in/igor-bodrichenko-60b092212
Anik Beauchemin,"Complex B2B tech should feel simple to buy | Marketing Director @ PlanAxion | ERP, AI & digital transformation","The transparency about the journey, the failures, and the wrong decisions makes this funding announcement feel genuine and earned rather than performative.",https://ca.linkedin.com/in/anikbeauchemin
Salon Promote,Manager chez SalonPromote-Officiel,Viktor went from a product nobody wanted to test to one that companies refuse to work without. That is the ultimate product market fit story.,
Nabeel Miranda,"MENA Head | Immigration Expert | Canada | Australia | New Zealand | European countries | Visit visa's | PR | Work permits | Residency by Investment | Second Passport Citizenship",From iterating quietly since 2023 to a $75M raise in 2025. The best things really do take time and relentless effort to build properly.,https://ae.linkedin.com/in/nabeel-miranda
Javier Prasetyo,Director | Private Broker Firm,Building for years before the market was ready shows incredible conviction. Most would have pivoted to whatever was trending at the moment instead.,https://au.linkedin.com/in/javier-prasetyo
Danylo Krasavin,Software Engineer at Mainix,The customer impact data in this announcement is more convincing than any product demo could ever be. Real savings and real revenue from real businesses.,
Daniela Valenzuela Marín,Nuevos Negocio en The Future Agencia,"Congratulations on this milestone. When customers save millions and generate new revenue in their first month, the product basically sells itself forward.",
Ashton Ball,Federal Acquisition SME | 17+ Years Supporting DoD Acquisition Initiatives & Rated Programs | $10B+ Lifecycle Projects | Proposal Expert,This story is a masterclass in persistence. Most people would have quit after users refused to even test the product. Glad you kept going.,https://www.linkedin.com/in/ashton-ball-71367b99/
Stefan Boyle,The TTWYK System | I turn one founder conversation into a month of LinkedIn authority | No writing. No cringe. No AI waffle,The $15M ARR in 10 weeks stat alone would have been enough to raise this round. The customer impact metrics on top just make it undeniable.,https://uk.linkedin.com/in/stefanboyleghostwriter
Prateek N.,Building Global Last Minutes Retailers Ecosystem,The early user love says everything.,https://www.linkedin.com/in/prateek-p-1a173231b/
Anishek Kamal,I paid off $140K in debt as an immigrant. Now I'm building the AI I wish I had. | Founder @ Toya AI,"$75M from Accel to build the future of AI employees. If the first 10 weeks are any indication, the next 10 months will be extraordinary.",https://www.linkedin.com/in/anishekkamal/
Ayesha Rashid,"Editor in Chief, Journalist, Content Writer, Social Media Manager.","Congratulations. The ""first true AI employee"" category is going to attract massive competition but Viktor has a significant head start right now.",https://www.linkedin.com/in/ayesharashid88/
Sabrina Princigalli,"Founder @ MatchCollective | CIO @ Saudi Connex | Cross-Border Investments, Strategic Partnerships & Capital Access Between Switzerland, Europe, GCC & Saudi Vision 2030 Ecosystems",Love seeing a team ship something this ambitious.,https://www.linkedin.com/in/sabrina-princigalli/
Geraldine Arias Colina,BDR | Analista de Datos |Tesorería | Outbound Lead Generation para Startups Tech.,Every founder who is currently struggling and failing should read this story. The path from rejected product to $75M raise is real and possible.,https://cl.linkedin.com/in/geraldine-arias-colina
Arolh D.,Banks & Financial Institutions Senior Enterprise AE | Customer Value | Large deals | Go-to-Market | Strategic Sales,This is exactly the kind of AI application the market needed.,
Adrian Waters⚡,"Founder. Not a guru. · Building real businesses, staying healthy, sharing everything · Southeast Asia",Viktor positioning as an AI employee instead of a tool changes the entire conversation about what AI can do for organizations of all sizes.,https://www.linkedin.com/in/mradrianwaters/
Tel Ganesan,Film Producer | Entrepreneur | Philanthropist | Mentor | @kyybafilms @kyybawellness Making Dreams possible🚀,This is a great reminder that iteration matters.,https://www.linkedin.com/in/telkganesan
Anthea WEN,"Public Relations | Comms | Media Strategy",Amazing to see a small team make such a big impact.,https://www.linkedin.com/in/anthea-wen-67096b10b/
May Kristine Brila,Social Media Manager | Helping Construction CEOs Focus on the Business While I Handle the Content,The best part of this story is that it was not built by a massive team. A small dedicated group iterating relentlessly created something people love.,https://ph.linkedin.com/in/may-kristine-brila-6094b1320
Oluwamayokun Solarin,⇒ 3 problems solved: Empty Pipeline. Invisible Brand. Stagnant Growth. ⇒ I help growing CEOs & Founders break through the plateau with systems that attract premium clients consistently | Marketing Strategist,$15M ARR in 10 weeks without the product even being well known yet. Imagine what happens when Viktor reaches broader market awareness.,
Martin McAndrew,A CMO & CEO. Dedicated to driving growth and promoting innovative marketing for businesses with bold goals,Small companies saving millions through an AI coworker proves that this technology can be transformative regardless of company size or industry.,https://www.linkedin.com/in/martinmcandrew/
Alessio Cavone,"​Group CIO - Chief Information Officer presso Allcore SpA | Omnichannel Digital Transformation | Change Management | IT Strategy | Odoo ERP | Salesforce CRM | Qlik Data Analytics | Generative AI | AI Agent & Automation",$75M to accelerate a product already generating $15M ARR. The growth potential from here with proper funding is genuinely exciting to consider.,https://www.linkedin.com/in/alessiocavone/
Francisco Banga,"Operations & Compliance Professional | 10+ Years Administrative, Regulatory & Business Operations | AI Implementation | Bilingual EN/ES | Pursuing CS — Robotics & Autonomous Systems","Incredible milestone. The combination of persistence, product quality, and market timing all came together perfectly for this moment. Well deserved.",
Derek Stark,Reclaim Your Masculine Power ⚡Helping Men 40+ Optimize Testosterone & Vitality I Book your metabolic reset protocol DM 'RESET' for more details 👇,Congratulations to the entire team. $15M ARR in 10 weeks while maintaining real customer outcomes is an exceptional achievement by any standard.,
Pratik Choudhary,Business Strategist | VCFO & IA | Scaling Hospitality Brands through Data & Systems,Love that the announcement focuses on customer impact rather than just the fundraise. That tells you where the team's priorities really are.,
Jaisheel Chhatrawala,Industrial Machine Vision Specilaist | HALCON MVtec | Vision System Integration | Smart Factory & Automation,The speed of traction here is the most impressive part.,
Mustapha Emmanuel,I build cold email systems that consistently book qualified meetings for B2B SaaS companies | Clay · Apollo · Instantly | Top Rated on Upwork,Most AI products overpromise and underdeliver. Viktor seems to be the rare exception where the results actually exceed the marketing claims.,https://ng.linkedin.com/in/mustaphaemmanuel-87742b1b3
Julian Jabaraj,LinkedIn Content Enthusiast | Helping Creators Scale with Free Tools & Smart Systems | Content Strategy & Growth Frameworks 🚀,"From a small dedicated team to a $75M raise, this is what focused execution on a clear vision looks like when the timing aligns.",
Beatriz Nahuz,CEO @MENFIRST | Built & Exited Activewear Brand | Multi-Venture Operator | Amazon & DTC Event Intelligence | U.S. Market Entry Strategist | EcomTherapy Newsletter,Congratulations to the Viktor team. The resilience shown through years of iteration before finding product market fit is truly admirable.,https://www.linkedin.com/in/beatriznahuz/
Ritchie Nkana,"Speaker | Founder, Brand to Stage™ | Ex-Banker, Author & Podcast Host | Helping experts turn speaking into 2–4 booked stages/month",Customers saving millions while also generating new revenue streams is a rare double benefit that explains the explosive growth trajectory.,https://www.linkedin.com/in/ritchienkana/
Dinesh Sahu,Content Creator | Building Personal Brands For Founders and Start-ups | Top 1% LinkedIn | Ghostwriter,Accel clearly did their homework here. Leading a $75M Series A on a product with this kind of early traction is a smart move.,
"Katia Simionato","Entrepreneur, Mentor, Investor",This is the kind of story that makes the category feel real.,https://it.linkedin.com/in/katia-simionato1976
"Jack Ng, MSSc, BSSc, Hons, RSW","Top 0.1% LinkedIn Profile| Head @VoteeAI| Founder @Onederland| Cons @AoN| ExHead @HKU, K11, MoMA, APRU| P @Rotaract| Board @CPF, STC| BKT Top Author| MSSc, BSSc, Cert @ANU, CUHK, Penn, Stanford, Yale| RSW, Youder| 30+📍",This is the kind of company people will study later.,https://www.linkedin.com/in/jacknghoihin/
Vaibhav Malik,Last Mile Expert | 3PL/D2C Operations | Warehouse Operations Specialist,Running 40% leaner without cutting output is the dream for every operations leader. No wonder the adoption curve has been so steep.,
Mariam Eremian,HR | Headhunter for top start-ups | CMU,Small experiment to category leader. This is the kind of trajectory that gets studied in startup courses a few years from now.,
ThirdEye Investment Fund,"Your trusted partners — from mentorship to fundraising, and beyond.","Congrats Fryderyk and team. The fact that this started as a small experiment makes the outcome even more impressive and inspiring.",
Rina Hernandez,"Industrial B2B Marketing | Material Handling, Manufacturing, Operations",First true AI employee is a big claim but $15M ARR in 10 weeks and 40% leaner operations make it very hard to argue against.,
Gini Shah,Co-Founder @MobiDrag | Turning Shopify Stores into Native Mobile Apps,Congratulations on the Series A. The combination of Accel's backing and those early traction numbers makes Viktor one to watch closely.,
Marcia Riner,Transform Your Business with Proven Profit Booster® Strategies 🚀 | Growth Expert 📈 | Exit Planning Specialist 🏆 | Host of 'Profit with a Plan' 🎙 | 3X Published Author 📚 | Engaging Speaker 🎤,Viktor delivering hundreds of thousands in new revenue for customers in their first month is the kind of ROI that creates organic word of mouth.,https://www.linkedin.com/in/marciariner/
Jozelle Tech,I transform brands from invisible to in-demand. Be Seen. Be Known. Be Trusted. Get Chosen. 🦋 Dominate your brand by building a brand that speaks before you do.,"The ""10x'ing real businesses"" claim usually makes me skeptical but the revenue and customer impact data here actually backs it up completely.",https://www.linkedin.com/in/jozelletech
carlos hugo cristaldo,Jubilado en Nacional,This is what happens when founders refuse to give up even when the market is not ready yet. The timing finally caught up to the vision.,
Nahyeong Kim,Senior Graphic Designer,You can feel the conviction in every line of this post.,https://www.linkedin.com/in/nahyeongkim/
Shawn Harber,VP of Franchise Development,That customer impact is exactly what matters.,https://www.linkedin.com/in/shawn-harber-036738130/
Salman Hanif,AI Automation Expert || Helping business owners automate their manual repetitive Tasks || 500 + Projects Delivered || Top Rated on Fiverr,The vision since 2023 finally being shipped is a testament to patience and conviction. Most founders would have pivoted away years ago.,
Mikaela Jane Opiña,Communications Major | Social Media Manager,Every sleepless night and sacrifice clearly led somewhere meaningful. This is a well deserved milestone for the entire Viktor team. Congratulations.,https://ph.linkedin.com/in/mikaela-jane-opi%C3%B1a-17a9b3227
Moe Mojahed,4x Founder | Business Growth Strategist | Brand Builder for Bold Visions | Hiring Sales Superstars 🚀,Years of iteration and failing forward finally paying off in a big way. This is what real startup persistence looks like. Huge congratulations.,https://ca.linkedin.com/in/moemojahed
Anand Sagar,Founder @ YellowInk Digital | ROI-Focused Digital Marketing Services for Startups & SMBs,Viktor sounds like the kind of product that makes you rethink how small teams can compete with much larger organizations. Love this vision.,https://uk.linkedin.com/in/anandsagardigital
Alessandro Eren B.,Growth AI Marketer,$75M Series A is massive but honestly feels justified when you look at those revenue numbers. Accel clearly sees the potential here.,https://it.linkedin.com/in/alesssandro-eren-boccardo
Aayushya Patel,THE Dubai Chocolate Guy | Stanford SIMR Intern | Founder @ Kahlus | Sys Engineer @ IntelliScience,The fact that companies are running 40% leaner without losing output says everything about where AI employees are heading right now.,https://www.linkedin.com/in/aayushya-patel-141a4b296/
Matthew West,Founder | Boom AI | AI-native student retention for community colleges,This is incredible to see. Going from a small experiment to $15M ARR in just 10 weeks is absolutely unheard of. Congrats to the team.,https://www.linkedin.com/in/mattwest3/
